iter	RMSE
0	1.059387849
1	1.032866215
2	1.007496423
3	0.9827074859
4	0.9556715341
5	0.9349301127
6	0.915530763
7	0.8975116029
8	0.8799002249
9	0.8593808726
10	0.8379498738
11	0.8210259978
12	0.8057560314
13	0.792951923
14	0.7803192961
15	0.7642067164
16	0.7507376595
17	0.740549651
18	0.7317875932
19	0.7184594572
20	0.7091541893
21	0.7004367917
22	0.6926527538
23	0.6837224783
24	0.6731043472
25	0.6664419052
26	0.659766269
27	0.6541632679
28	0.6454856299
29	0.6407429867
30	0.6348644117
31	0.625621993
32	0.6196441991
33	0.614639176
34	0.6109845834
35	0.6039804735
36	0.6004940677
37	0.5928673747
38	0.587866557
39	0.5851814147
40	0.5793408753
41	0.574349439
42	0.5717273565
43	0.5687626308
44	0.5639131055
45	0.5610069803
46	0.5577428036
47	0.5531251905
48	0.5512108052
49	0.5480217372
50	0.5425025886
51	0.537415923
52	0.5335963348
53	0.5314248336
54	0.5282035585
55	0.5249161218
56	0.5231515199
57	0.5219729591
58	0.5209193745
59	0.5185542261
60	0.5151515284
61	0.5116758885
62	0.5104633215
63	0.5090497113
64	0.5074789044
65	0.5060439813
66	0.5042525128
67	0.5026670808
68	0.5000470725
69	0.4991770279
70	0.4983701234
71	0.4941285656
72	0.4931172009
73	0.4884765534
74	0.4877464456
75	0.4857255688
76	0.4832121478
77	0.482624672
78	0.4799773594
79	0.4789223924
80	0.4767529428
81	0.4749881457
82	0.4741076002
83	0.472323254
84	0.4716992315
85	0.4709303487
86	0.4693984356
87	0.4683908845
88	0.4666943686
89	0.4653688333
90	0.4642350566
91	0.4637610541
92	0.4619420665
93	0.4603074965
94	0.4593428345
95	0.4589759196
96	0.4585220913
97	0.4581229723
98	0.4575343161
99	0.4561264139
100	0.4555618377
101	0.4552264606
102	0.4539589867
103	0.4535524602
104	0.4529331281
105	0.4525874566
106	0.4519483769
107	0.4506649079
108	0.4490727682
109	0.4473968191
110	0.4461475878
111	0.4455157988
112	0.4439503722
113	0.4428662386
114	0.4419797546
115	0.4414284719
116	0.4404854584
117	0.4396724842
118	0.4393836928
119	0.4389109201
120	0.438380279
121	0.4380425963
122	0.4366981254
123	0.4357371853
124	0.4353887704
125	0.4346589477
126	0.4338377288
127	0.43353682
128	0.4332202269
129	0.4328708439
130	0.4314682763
131	0.4311646596
132	0.4299707811
133	0.4296987887
134	0.4292939731
135	0.4281312361
136	0.4274255624
137	0.4262425776
138	0.425531556
139	0.425012005
140	0.4235480078
141	0.4226249027
142	0.4210751154
143	0.420635621
144	0.419880075
145	0.4195429765
146	0.4188155697
147	0.4180934176
148	0.4172836385
149	0.4163828962
150	0.4159403455
151	0.4155802573
152	0.4149798331
153	0.414624137
154	0.4137102569
155	0.4133199685
156	0.412352071
157	0.4119306243
158	0.4117615789
159	0.4113841998
160	0.4109996127
161	0.4106249747
162	0.4099320186
163	0.409375066
164	0.4085875033
165	0.4082861732
166	0.4077636408
167	0.4067991226
168	0.4060959958
169	0.4049807184
170	0.4042839516
171	0.4036145918
172	0.4032660439
173	0.4029652769
174	0.4026990455
175	0.4020608546
176	0.4014949125
177	0.401235166
178	0.4005229179
179	0.3999222765
180	0.3992452424
181	0.3988871735
182	0.3981176657
183	0.3977570838
184	0.3971375839
185	0.3963211176
186	0.3959290282
187	0.3956467356
188	0.3949749672
189	0.3944872549
190	0.3941200276
191	0.3930050037
192	0.3917278435
193	0.3909443884
194	0.3903079804
195	0.3896127691
196	0.389107251
197	0.3884019047
198	0.3878750704
199	0.3875210745
200	0.387038506
201	0.3867852585
202	0.3863468088
203	0.3852545475
204	0.3849707123
205	0.3843670844
206	0.3836911769
207	0.3830068294
208	0.3827803671
209	0.3824534406
210	0.38203299
211	0.3814918856
212	0.3812454246
213	0.3806835909
214	0.3804267187
215	0.3798666146
216	0.3790863379
217	0.3784932395
218	0.3778312474
219	0.3773386668
220	0.3762267639
221	0.3758418426
222	0.3756704118
223	0.3753462379
224	0.3748607574
225	0.3744749114
226	0.3739383089
227	0.3734707298
228	0.3731361812
229	0.37279276
230	0.3720003195
231	0.3716063895
232	0.3709631133
233	0.3704255368
234	0.3700319145
235	0.3695376725
236	0.3690043729
237	0.3686720166
238	0.3681160271
239	0.3676866687
240	0.3674167647
241	0.3671907138
242	0.3667851707
243	0.3664182892
244	0.3660651274
245	0.365817521
246	0.3648726961
247	0.3644826917
248	0.3640147054
249	0.363666079
250	0.3632884595
251	0.3629731861
252	0.3623956575
253	0.3620654428
254	0.3617700489
255	0.3614067262
256	0.3610178785
257	0.360757606
258	0.3604520211
259	0.3600556889
260	0.3598836375
261	0.3594085898
262	0.3590186256
263	0.3586414275
264	0.3581918192
265	0.3576518368
266	0.3573839953
267	0.3571505599
268	0.356767442
269	0.3560180116
270	0.3556169739
271	0.3554373542
272	0.3552487787
273	0.3550623418
274	0.3548744871
275	0.3545476704
276	0.3541851501
277	0.3534992517
278	0.353167687
279	0.352865926
280	0.3525326435
281	0.3521414365
282	0.3518941992
283	0.3517875608
284	0.3515190308
285	0.351509941
286	0.3510955862
287	0.3508940379
288	0.3506414192
289	0.3503609766
290	0.3500318561
291	0.3500139119
292	0.3497243089
293	0.3493925392
294	0.3490351801
295	0.3487130994
296	0.3483171501
297	0.3482549992
298	0.347866757
299	0.3475572617
300	0.3473147321
301	0.3470451655
302	0.3464515514
303	0.3458719374
304	0.3454777109
305	0.3454591001
306	0.3451697055
307	0.3448406084
308	0.3445609061
309	0.3442231605
310	0.3438148742
311	0.3435699567
312	0.3431765466
313	0.3429310033
314	0.3426255674
315	0.3424128307
316	0.3420315375
317	0.3420226726
318	0.3418020989
319	0.3415310395
320	0.3412103735
321	0.341078254
322	0.3406866584
323	0.3403153769
324	0.3402969088
325	0.3401110226
326	0.3397921124
327	0.3393947376
328	0.3393874515
329	0.3391009666
330	0.3388644049
331	0.3388048192
332	0.3385823611
333	0.3382202072
334	0.3380978972
335	0.3378261413
336	0.3375731537
337	0.3373268034
338	0.3370883109
339	0.3368359955
340	0.3364174317
341	0.336290098
342	0.3360183942
343	0.3359243905
344	0.3358058618
345	0.3354757238
346	0.3353571972
347	0.3350811991
348	0.3350747202
349	0.3347245806
350	0.3343842256
351	0.3341258084
