iter	Passed	Remaining
0	1	1905
1	4	2333
2	7	2524
3	10	2597
4	13	2698
5	16	2773
6	19	2825
7	24	3058
8	27	3034
9	30	3029
10	32	2958
11	34	2880
12	36	2801
13	38	2730
14	40	2661
15	42	2598
16	43	2516
17	45	2456
18	46	2400
19	47	2346
20	49	2299
21	50	2256
22	52	2217
23	53	2176
24	54	2136
25	56	2100
26	57	2071
27	58	2039
28	62	2082
29	64	2100
30	68	2147
31	71	2176
32	74	2182
33	76	2169
34	78	2165
35	79	2141
36	81	2117
37	82	2096
38	84	2079
39	85	2058
40	87	2042
41	89	2039
42	90	2025
43	92	2009
44	93	1994
45	95	1980
46	96	1966
47	98	1953
48	100	1942
49	101	1930
50	103	1919
51	105	1917
52	106	1906
53	108	1895
54	109	1885
55	111	1874
56	112	1864
57	114	1854
58	115	1844
59	117	1835
60	118	1827
61	121	1839
62	123	1831
63	124	1820
64	125	1811
65	127	1802
66	128	1794
67	130	1787
68	131	1779
69	133	1772
70	135	1778
71	137	1772
72	138	1764
73	140	1758
74	142	1752
75	143	1745
76	145	1739
77	146	1732
78	148	1726
79	149	1721
80	151	1722
81	153	1715
82	154	1708
83	156	1703
84	157	1697
85	159	1692
86	160	1687
87	162	1681
88	163	1676
89	165	1676
90	167	1672
91	169	1669
92	170	1665
93	172	1660
94	173	1655
95	175	1649
96	176	1644
97	178	1639
98	180	1639
99	181	1633
100	183	1636
101	186	1637
102	187	1632
103	188	1627
104	190	1622
105	191	1617
106	193	1612
107	195	1615
108	197	1611
109	198	1606
110	200	1603
111	201	1599
112	203	1595
113	204	1591
114	206	1587
115	207	1583
116	210	1586
117	211	1582
118	213	1578
119	214	1576
120	216	1574
121	218	1569
122	219	1566
123	221	1561
124	222	1558
125	224	1554
126	226	1559
127	228	1555
128	229	1551
129	231	1549
130	233	1546
131	234	1542
132	236	1538
133	237	1534
134	239	1532
135	241	1531
136	242	1527
137	244	1524
138	245	1520
139	247	1519
140	248	1516
141	250	1513
142	251	1510
143	253	1506
144	256	1514
145	259	1515
146	260	1511
147	262	1509
148	264	1508
149	265	1505
150	267	1501
151	268	1497
152	270	1496
153	272	1494
154	273	1490
155	274	1487
156	276	1484
157	278	1483
158	280	1482
159	281	1479
160	283	1476
161	284	1473
162	286	1470
163	287	1467
164	289	1464
165	290	1461
166	292	1458
167	294	1456
168	295	1455
169	297	1452
170	299	1449
171	300	1446
172	302	1444
173	303	1441
174	304	1437
175	306	1434
176	307	1431
177	309	1429
178	310	1425
179	312	1422
180	313	1419
181	315	1419
182	317	1416
183	318	1413
184	320	1410
185	321	1408
186	323	1405
187	324	1402
188	326	1401
189	328	1398
190	329	1396
191	331	1396
192	333	1393
193	334	1390
194	336	1387
195	337	1384
196	339	1382
197	340	1380
198	342	1378
199	343	1375
200	346	1376
201	347	1373
202	349	1370
203	350	1367
204	352	1365
205	353	1362
206	355	1360
207	357	1359
208	359	1361
209	361	1359
210	362	1356
211	364	1353
212	365	1350
213	367	1348
214	368	1345
215	370	1343
216	371	1340
217	373	1338
218	375	1339
219	377	1337
220	378	1334
221	380	1332
222	381	1329
223	383	1327
224	384	1325
225	386	1322
226	387	1320
227	390	1322
228	391	1319
229	393	1316
230	394	1314
231	396	1311
232	397	1309
233	399	1306
234	400	1303
235	401	1301
236	403	1299
237	405	1299
238	407	1296
239	408	1294
240	410	1291
241	411	1289
242	413	1286
243	414	1284
244	416	1282
245	417	1279
246	419	1277
247	421	1278
248	424	1281
249	427	1282
250	429	1280
251	430	1278
252	432	1277
253	434	1274
254	436	1276
255	438	1274
256	440	1272
257	441	1270
258	443	1268
259	444	1265
260	446	1263
261	447	1261
262	449	1258
263	451	1259
264	453	1258
265	455	1255
266	456	1253
267	457	1250
268	459	1248
269	461	1247
270	462	1244
271	464	1244
272	467	1244
273	468	1242
274	470	1240
275	471	1237
276	473	1235
277	474	1233
278	476	1231
279	477	1229
280	479	1226
281	481	1226
282	483	1224
283	484	1222
284	486	1219
285	487	1217
286	489	1214
